Sample,Concentration,Time,Replicate,Initial,Alive,Dead,Mortality Decimal,Mortality %,Control Mortality %,Corrected Mortality %,Probit,Log Conc
Control,0.0,0,1,18,18,0,0.0,0.0,0.0,0.0,1.9098,
Control,0.0,20,1,18,16,2,0.1111111111111111,11.11111111111111,11.11,11.11,3.7794,
Control,0.0,40,1,18,15,3,0.16666666666666666,16.666666666666664,16.67,16.67,4.0326,
Control,0.0,60,1,18,12,6,0.3333333333333333,33.33333333333333,33.33,33.33,4.5693,
Control,0.0,80,1,18,12,6,0.3333333333333333,33.33333333333333,33.33,33.33,4.5693,
Control,0.0,100,1,18,10,8,0.4444444444444444,44.44444444444444,44.44,44.44,4.8603,
